Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
corner	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
ol'	|	0.624694	|	0.000000	|	0.749632	|	0.249877	|	
Larry	|	0.124939	|	0.000000	|	0.124939	|	0.124939	|	
John	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Getting	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
over	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
wife	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
number	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
two	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
sitting	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
next	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
him	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
regular	|	0.301030	|	0.000000	|	0.000000	|	0.301030	|	
here	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
They're	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
as	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
lonely	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
me	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
We	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
got	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
thing	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
common	|	0.249877	|	0.249877	|	0.499755	|	0.000000	|	
When	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
we	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
walked	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
A	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
memory	|	9.331930	|	0.000000	|	0.000000	|	1.204120	|	
we're	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
trying	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
kill	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Swearing	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
up	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
down	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
