Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
sex	|	0.000000	|	1.249387	|	1.749142	|	1.874081	|	
nerdiness	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
flirting	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
styles	|	0.000000	|	0.301030	|	0.000000	|	0.602060	|	
Exploring	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
scruffy	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
goofy	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
developed	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
crocodiles	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
process	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Hip	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
Hop	|	0.000000	|	0.301030	|	3.612360	|	0.000000	|	
languages	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
Spanglish	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
vibe	|	0.000000	|	1.505150	|	0.903090	|	0.000000	|	
chimes	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
cockiness	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
retardation	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ventured	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
incline	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
bassline	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
thumbs	|	0.000000	|	0.602060	|	0.602060	|	0.000000	|	
Okay	|	0.000000	|	0.499755	|	1.499265	|	0.374816	|	
frames	|	0.000000	|	0.903090	|	0.602060	|	0.000000	|	
itself	|	0.000000	|	0.903090	|	0.000000	|	0.903090	|	
Hehehe	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
Haven't	|	0.000000	|	0.903090	|	0.602060	|	0.000000	|	
prettier	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
weird	|	0.000000	|	0.374816	|	0.499755	|	0.499755	|	
naked	|	0.000000	|	0.624694	|	0.624694	|	0.374816	|	
jokes	|	0.000000	|	1.204120	|	0.903090	|	0.000000	|	
Unh	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Hello	|	0.000000	|	0.249877	|	0.624694	|	0.124939	|	
Kitty	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
bags	|	0.000000	|	0.903090	|	6.321630	|	0.000000	|	
socks	|	0.000000	|	3.612360	|	0.000000	|	0.000000	|	
cooties	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Sex	|	0.000000	|	0.602060	|	1.204120	|	0.000000	|	
mature	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
bodied	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
taxes	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
average	|	0.000000	|	0.249877	|	1.249387	|	0.124939	|	
brighteyed	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
career	|	0.000000	|	1.204120	|	0.602060	|	0.000000	|	
Which	|	0.000000	|	0.749632	|	1.124449	|	1.124449	|	
proved	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
you's	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
Da	|	0.000000	|	0.374816	|	0.124939	|	1.249387	|	
dadada	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
dadadumda	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
smashed	|	0.000000	|	0.602060	|	0.602060	|	0.000000	|	
baseline	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Sounds	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
imprint	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
public	|	0.000000	|	0.499755	|	0.624694	|	0.124939	|	
announcement	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
who've	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
fallen	|	0.000000	|	0.602060	|	0.000000	|	1.204120	|	
profit	|	0.000000	|	0.602060	|	0.903090	|	0.000000	|	
tantrum	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Jersey	|	0.000000	|	0.124939	|	0.124939	|	0.124939	|	
Shore	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
heartbreaking	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
reset	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
amazed	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ASAP	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
Ajax	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
wipe	|	0.000000	|	0.249877	|	1.374326	|	0.499755	|	
stacks	|	0.000000	|	1.204120	|	4.214420	|	0.000000	|	
Something2Relax2	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
relax	|	0.000000	|	6.496814	|	0.124939	|	0.249877	|	
waterfall	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Smoothly	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
charts	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
level	|	0.000000	|	1.204120	|	2.107210	|	0.000000	|	
constantly	|	0.000000	|	0.602060	|	0.903090	|	0.000000	|	
issues	|	0.000000	|	0.374816	|	0.124939	|	0.124939	|	
image	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
jobs	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
Skaters	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
gangsters	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
punks	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
preps	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
rep	|	0.000000	|	0.124939	|	0.374816	|	0.124939	|	
rap	|	0.000000	|	1.124449	|	2.623713	|	1.124449	|	
Ego	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Whoaoohoh	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ohoohoh	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
selfconscious	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Ridiculous	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
nonsense	|	0.000000	|	0.602060	|	0.000000	|	0.301030	|	
admitting	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
nauseous	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
accordingly	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
tanks	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
rid	|	0.000000	|	0.624694	|	0.624694	|	0.249877	|	
B	|	0.000000	|	0.249877	|	3.373346	|	0.124939	|	
progress	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
label's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
name's	|	0.000000	|	0.602060	|	1.505150	|	0.000000	|	
Jonathan	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
22	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
confused	|	0.000000	|	2.107210	|	0.000000	|	0.903090	|	
Kinda	|	0.000000	|	0.499755	|	0.124939	|	0.124939	|	
sort	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
America	|	0.000000	|	0.374816	|	0.124939	|	0.499755	|	
Behind	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
LIFE	|	0.000000	|	13.245320	|	0.000000	|	0.000000	|	
Kanye	|	0.000000	|	0.903090	|	0.602060	|	0.000000	|	
studio	|	0.000000	|	1.204120	|	0.301030	|	0.000000	|	
check	|	0.000000	|	0.624694	|	10.869670	|	0.374816	|	
bounce	|	0.000000	|	0.903090	|	1.505150	|	0.000000	|	
mane	|	0.000000	|	0.602060	|	15.051500	|	0.000000	|	
carpenter	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
wordsmith	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
spanking	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
industry	|	0.000000	|	0.124939	|	1.374326	|	0.124939	|	
chefs	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
cooking	|	0.000000	|	0.602060	|	2.107210	|	0.000000	|	
bullshit	|	0.000000	|	0.499755	|	0.499755	|	0.249877	|	
souffle	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
grindstone	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Bounced	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
freaking	|	0.000000	|	0.602060	|	0.000000	|	0.301030	|	
lab	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
rat	|	0.000000	|	0.249877	|	0.999510	|	0.124939	|	
backpack	|	0.000000	|	0.301030	|	1.204120	|	0.000000	|	
tunes	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ttttell	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Middle	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
positive	|	0.000000	|	0.602060	|	0.000000	|	0.301030	|	
negatives	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
nogo	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Sensei	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
dojo	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Boston	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
mojo	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
Yachts	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
rowboat	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Almost	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
gogo	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
Wizard	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Oz	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Toto	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Dorothy	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
la	|	0.000000	|	26.611951	|	8.121018	|	12.368935	|	
Shit	|	0.000000	|	0.249877	|	0.874571	|	0.624694	|	
grasped	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
sister	|	0.000000	|	1.499265	|	0.499755	|	0.124939	|	
younger	|	0.000000	|	0.374816	|	0.124939	|	0.499755	|	
overrated	|	0.000000	|	0.749632	|	0.124939	|	0.124939	|	
pour	|	0.000000	|	1.806180	|	6.321630	|	0.000000	|	
gon'	|	0.000000	|	6.020600	|	41.843169	|	0.000000	|	
jail	|	0.000000	|	0.249877	|	0.749632	|	0.124939	|	
unreal	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
forgettin'	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
heals	|	0.000000	|	0.602060	|	0.000000	|	1.204120	|	
niece	|	0.000000	|	3.010300	|	0.000000	|	0.000000	|	
blowing	|	0.000000	|	2.107210	|	2.107210	|	0.000000	|	
bubbles	|	0.000000	|	3.010300	|	0.000000	|	0.000000	|	
Economy	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
murdering	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Dum	|	0.000000	|	1.204120	|	0.000000	|	0.301030	|	
dum	|	0.000000	|	10.235020	|	0.000000	|	0.903090	|	
dumdum	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
literally	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
smiling	|	0.000000	|	3.010300	|	0.000000	|	0.000000	|	
rip	|	0.000000	|	0.301030	|	0.000000	|	3.010300	|	
ribbit	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
midgets	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Sandman	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
sheep	|	0.000000	|	1.505150	|	0.602060	|	0.000000	|	
95ing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Dopest	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
musical	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
breakdown	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
graduating	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
hipsters	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
produced	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
record	|	0.000000	|	1.204120	|	1.806180	|	0.000000	|	
insert	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
dirtier	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ew	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
clearing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
racks	|	0.000000	|	0.301030	|	16.857680	|	0.000000	|	
cigarettes	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
Pimp	|	0.000000	|	0.124939	|	0.374816	|	0.874571	|	
coats	|	0.000000	|	0.249877	|	0.499755	|	0.124939	|	
feathered	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
hats	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
sauce	|	0.000000	|	0.301030	|	3.612360	|	0.000000	|	
Sinatra's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Fashion	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
chore	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
partying	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
moccasins	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Rocking	|	0.000000	|	0.124939	|	0.124939	|	0.124939	|	
scholars	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
copy	|	0.000000	|	6.020600	|	9.331930	|	0.000000	|	
cheating	|	0.000000	|	0.249877	|	0.124939	|	0.374816	|	
proctoring	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Positively	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
optimistic	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
opposite	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
spaz	|	0.000000	|	1.204120	|	0.301030	|	0.000000	|	
Lennon	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
airplane	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
heights	|	0.000000	|	0.903090	|	0.000000	|	0.301030	|	
yell	|	0.000000	|	0.124939	|	0.124939	|	0.249877	|	
proper	|	0.000000	|	0.301030	|	1.204120	|	0.000000	|	
introduction	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
locksmith	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
rapping	|	0.000000	|	0.301030	|	3.311330	|	0.000000	|	
nonchalant	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
roast	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
associate	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
bachelor	|	0.000000	|	0.903090	|	0.602060	|	0.000000	|	
master	|	0.000000	|	0.249877	|	0.374816	|	0.499755	|	
doc	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
spits	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
collecting	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
fearing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
impatient	|	0.000000	|	0.124939	|	0.249877	|	0.124939	|	
Myers	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Flipping	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
script	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
killing	|	0.000000	|	0.499755	|	0.874571	|	0.624694	|	
mic's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
entourage	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
mauling	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
moms	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
sharpened	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
claws	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Santa	|	0.000000	|	0.249877	|	0.374816	|	0.374816	|	
grammar	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
standout	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
handing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
handouts	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
paws	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Kurtis	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Blow	|	0.000000	|	1.249387	|	0.374816	|	0.374816	|	
lawyer	|	0.000000	|	1.204120	|	0.602060	|	0.000000	|	
priest	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
paperwork	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
strangled	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
tangled	|	0.000000	|	1.806180	|	0.000000	|	0.301030	|	
homies	|	0.000000	|	0.624694	|	0.749632	|	0.124939	|	
decade	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
quite	|	0.000000	|	0.999510	|	0.124939	|	0.624694	|	
overseas	|	0.000000	|	0.602060	|	1.204120	|	0.000000	|	
Albany	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
smacked	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
entire	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
onetake	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
release	|	0.000000	|	0.602060	|	0.000000	|	0.301030	|	
album	|	0.000000	|	0.602060	|	1.204120	|	0.000000	|	
surprise	|	0.000000	|	0.249877	|	0.124939	|	0.499755	|	
sleeps	|	0.000000	|	0.602060	|	0.000000	|	0.301030	|	
cologne	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
texting	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
Loneliness	|	0.000000	|	3.612360	|	0.000000	|	0.602060	|	
translation	|	0.000000	|	0.903090	|	0.301030	|	0.000000	|	
Penn	|	0.000000	|	2.408240	|	0.000000	|	0.000000	|	
deserve	|	0.000000	|	0.624694	|	1.499265	|	0.124939	|	
copilot	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
swag	|	0.000000	|	0.301030	|	5.418540	|	0.000000	|	
rocky	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
oxygen	|	0.000000	|	3.612360	|	0.000000	|	0.000000	|	
mask	|	0.000000	|	0.249877	|	0.499755	|	0.124939	|	
dropping	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
Nahhoo	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
mayday	|	0.000000	|	2.408240	|	0.000000	|	0.000000	|	
Paper	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Relationships	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Publishing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
checks	|	0.000000	|	0.249877	|	0.749632	|	0.124939	|	
emptiness	|	0.000000	|	0.301030	|	0.000000	|	0.602060	|	
Bandages	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Amelia	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Earharts	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
wing	|	0.000000	|	0.249877	|	0.499755	|	0.249877	|	
Fell	|	0.000000	|	0.903090	|	1.204120	|	0.000000	|	
kickass	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
Frank	|	0.000000	|	0.903090	|	1.204120	|	0.000000	|	
Sinatra	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
James	|	0.000000	|	0.874571	|	0.249877	|	1.374326	|	
Dean	|	0.000000	|	1.806180	|	0.000000	|	3.311330	|	
Sammy	|	0.000000	|	0.903090	|	0.301030	|	0.000000	|	
Moonshine	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
Nice	|	0.000000	|	0.749632	|	0.249877	|	0.124939	|	
poolside	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
timeless	|	0.000000	|	0.903090	|	0.000000	|	0.301030	|	
readers	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
generation's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Whoaoohwhoa	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
hero	|	0.000000	|	0.124939	|	0.374816	|	0.874571	|	
zero	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
outs	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
swap	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Goosebump	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
College	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
Dropout	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
opinions	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
split	|	0.000000	|	0.249877	|	1.874081	|	0.499755	|	
humbling	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
bigger	|	0.000000	|	1.499265	|	0.874571	|	0.124939	|	
Yah	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
internet	|	0.000000	|	0.903090	|	0.301030	|	0.000000	|	
000	|	0.000000	|	0.301030	|	3.010300	|	0.000000	|	
blend	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
sickening	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Shouts	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
CuDi	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
AampR's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Anxiety	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Such	|	0.000000	|	8.245957	|	0.124939	|	0.749632	|	
tries	|	0.000000	|	2.107210	|	0.000000	|	0.903090	|	
IIIIIIIIInsert	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
eh	|	0.000000	|	4.214420	|	0.602060	|	0.000000	|	
f'in	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
blah	|	0.000000	|	23.480340	|	0.000000	|	0.000000	|	
Christina	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
project	|	0.000000	|	0.301030	|	0.903090	|	0.000000	|	
liked	|	0.000000	|	0.602060	|	0.000000	|	1.505150	|	
Above	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
boo	|	0.000000	|	1.806180	|	18.061800	|	0.000000	|	
Smarter	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Raised	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Brooklyn	|	0.000000	|	0.903090	|	0.000000	|	0.301030	|	
based	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
rapper	|	0.000000	|	0.249877	|	3.498285	|	0.374816	|	
urbans	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
testes	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
packaging	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
yikes	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Bunch	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
pricks	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
cactusing	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Brad	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
Pitt'in	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Braymance	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
adlibbin'	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Fronting	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Sean	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Seventh	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
grade	|	0.000000	|	0.374816	|	0.874571	|	0.249877	|	
masses	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
exgirlfriend's	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
babbling	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
trafficking	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
kicking	|	0.000000	|	1.806180	|	0.301030	|	0.000000	|	
Doors	|	0.000000	|	1.806180	|	0.602060	|	0.000000	|	
Morrison	|	0.000000	|	5.418540	|	0.000000	|	0.000000	|	
Abbey	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Blueprint	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Vinyl	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
flower	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
Born	|	0.000000	|	0.124939	|	0.249877	|	0.249877	|	
Chats	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
presidents	|	0.000000	|	0.301030	|	0.301030	|	0.000000	|	
teachers	|	0.000000	|	0.249877	|	0.249877	|	0.124939	|	
Christopher	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
Wallace	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Marley	|	0.000000	|	0.903090	|	1.505150	|	0.000000	|	
Ask	|	0.000000	|	1.374326	|	1.499265	|	0.124939	|	
father	|	0.000000	|	0.874571	|	1.499265	|	0.624694	|	
hereditary	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
bitch	|	0.000000	|	5.997059	|	73.713855	|	8.495834	|	
legendary	|	0.000000	|	1.204120	|	0.000000	|	0.000000	|	
Brews	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Zarou	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Seasons	|	0.000000	|	0.602060	|	0.301030	|	0.000000	|	
Cute	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
English	|	0.000000	|	0.124939	|	0.249877	|	0.249877	|	
reporter	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
tells	|	0.000000	|	0.124939	|	0.249877	|	0.124939	|	
steamin'	|	0.000000	|	0.301030	|	1.204120	|	0.000000	|	
blessed	|	0.000000	|	0.301030	|	0.000000	|	0.301030	|	
eating	|	0.000000	|	0.249877	|	0.874571	|	0.124939	|	
cuatro	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
slutty	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Nicki	|	0.000000	|	16.255620	|	15.954590	|	0.000000	|	
ditch	|	0.000000	|	0.124939	|	0.249877	|	0.124939	|	
Jam	|	0.000000	|	0.374816	|	0.499755	|	0.124939	|	
Alice	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Manhattan	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Wonderland	|	0.000000	|	1.204120	|	0.903090	|	0.000000	|	
Transporter	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
Statham	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
bums	|	0.000000	|	0.499755	|	0.374816	|	0.124939	|	
trickortreating	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
hearse	|	0.000000	|	0.301030	|	0.602060	|	0.000000	|	
31st	|	0.000000	|	0.602060	|	0.000000	|	0.000000	|	
ho	|	0.000000	|	4.372856	|	3.623223	|	1.124449	|	
suspects	|	0.000000	|	1.806180	|	0.000000	|	0.000000	|	
Marilyn	|	0.000000	|	0.499755	|	0.124939	|	0.124939	|	
Dance	|	0.000000	|	3.913390	|	0.602060	|	0.000000	|	
